station_code,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,dominant_topic,purity,poi_count,longitude,latitude,label,supplemented_from,supplemented_station_name,supplemented_via_compound
14309,0.167271896527867,0.0168871961610382,0.0169624422132133,0.417675582227662,0.381202882870219,Topic_4,0.417675582227662,7,103.823117543355,1.27127692771255,Industrial & Automotive,,,
14319,0.00776966846044129,0.38509233231751,0.00775629941829401,0.00776231354238264,0.591619386261372,Topic_5,0.591619386261372,16,103.820768267805,1.27336168565703,Retail & Personal Care,,,
14329,0.00325527752552144,0.049532798821433,0.464759210981749,0.00325800788512278,0.479194704786173,Topic_5,0.479194704786173,39,103.809409867427,1.27429223242861,Retail & Personal Care,,,
14331,0.0353911463225759,0.0354138304753483,0.0353925443356847,0.0353864332142875,0.858416045652104,Topic_5,0.858416045652104,3,103.811183735617,1.27690792131277,Retail & Personal Care,,,
14339,0.309235639214221,0.0102039857403147,0.0102229691702094,0.0102076370812669,0.660129768793988,Topic_5,0.660129768793988,12,103.811131817849,1.27673445734377,Retail & Personal Care,,,
14349,0.0169023782923197,0.337585218445218,0.0169070379094548,0.0169169227146126,0.611688442638395,Topic_5,0.611688442638395,7,103.813416382119,1.2757599849933,Retail & Personal Care,,,
14351,0.0168749374524218,0.0168768983176861,0.0168868224992991,0.0168751462476969,0.932486195482896,Topic_5,0.932486195482896,7,103.809975297275,1.27268942990149,Retail & Personal Care,,,
14359,0.0278477327781061,0.0278593806154245,0.0278257143745534,0.0278544413647264,0.88861273086719,Topic_5,0.88861273086719,4,103.810369932218,1.27289288844442,Retail & Personal Care,,,
14369,0.348983041960743,0.00825561624915551,0.00826317659217972,0.00826058515147657,0.626237580046445,Topic_5,0.626237580046445,15,103.803470378353,1.28141077203288,Retail & Personal Care,,,
14379,0.0228689821436574,0.0229230953149568,0.482494616081542,0.448745079229541,0.0229682272303022,Topic_3,0.482494616081542,5,103.82377378042,1.27245841617811,Mixed-Use & Community,,,
14381,0.0766784662001014,0.464232657596126,0.00326176267327021,0.00326069306687454,0.452566420463628,Topic_2,0.464232657596126,39,103.8255208516,1.27413682402865,Dining & Hospitality,,,
14389,0.0168798991840353,0.174150658386465,0.0168972301533575,0.0168728108506088,0.775199401425533,Topic_5,0.775199401425533,7,103.82509818527,1.27426559704175,Retail & Personal Care,,,
